neighbourhood_name,min_age,max_age,mean_age,median_age,n
ARBUTUS-RIDGE,6,35,21.108138658628484,22,5169
DOWNTOWN,6,35,19.66311111111111,19,5159
DUNBAR-STHLANDS,6,35,20.20885237211768,21,9415
FAIRVIEW,6,35,20.877652050919377,21,4002
GRANDVW-WDLAND,6,35,20.622495151906918,21,6703
HASTINGS-SUNRISE,6,35,22.35670781893004,22,10547
KENSINGTON-CC,6,35,21.81297056810404,23,11042
KERRISDALE,6,35,19.95018266356692,20,6936
KILLARNEY,6,35,20.979842842500855,22,6148
KITSILANO,6,35,19.85569422776911,19,8115
MARPOLE,6,35,20.37381404174573,21,6353
MOUNT PLEASANT,6,35,21.56750339213026,20,6292
OAKRIDGE,6,34,21.18226230740323,21,4796
RENFREW-CWOOD,6,35,20.473604138140878,20,11386
RILEY PARK,6,35,20.73349412119385,21,6870
SHAUGHNESSY,6,35,19.97208413001912,21,7009
SOUTH CAMBIE,6,35,21.843073593073594,24,3343
STRATHCONA,6,34,19.502828854314004,20,2724
SUNSET,6,35,20.435294117647057,20,8367
VICTORIA-FRVIEW,6,35,20.617874396135267,22,7789
WEST END,6,35,21.016393442622952,21,3507
WEST POINT GREY,6,35,20.493543758967,21,4939
